time_of_day,hour,road_length_a_m,road_length_b_m,lane_a_car,lane_a_motorcycle,lane_a_bus,lane_a_truck,lane_a_total,lane_b_car,lane_b_motorcycle,lane_b_bus,lane_b_truck,lane_b_total,winner,gate_open_seconds
16:19,16,200,50,1,1,0,1,3,3,3,0,1,7,B,14.0
22:11,22,50,200,1,1,1,2,5,0,0,1,1,2,A,13.5
06:48,6,100,300,1,3,0,0,4,4,3,2,1,10,B,22.0
12:27,12,200,200,0,0,2,0,2,2,0,1,2,5,B,14.0
06:01,6,500,50,1,1,2,1,5,2,1,0,1,4,A,13.0
16:37,16,150,100,0,0,1,1,2,3,2,1,2,8,B,19.0
04:21,4,200,150,0,1,1,0,2,0,1,2,0,3,B,7.5
06:46,6,50,300,4,1,0,1,6,0,3,2,1,6,B,14.0
17:39,17,50,300,0,0,2,0,2,0,0,1,1,2,B,6.5
12:07,12,300,150,3,1,0,2,6,0,2,1,2,5,A,14.5
03:42,3,300,150,2,1,1,0,4,2,0,1,0,3,A,8.5
03:31,3,100,300,0,2,2,0,4,1,3,1,0,5,B,9.5
01:35,1,200,100,2,3,1,0,6,0,0,2,0,2,A,11.5
03:53,3,300,500,1,1,0,2,4,0,0,1,2,3,B,10.0
07:29,7,150,150,3,0,0,0,3,6,0,1,1,8,B,18.5
21:20,21,200,500,0,0,0,0,0,1,1,1,1,4,B,10.0
14:39,14,150,500,0,2,1,0,3,0,3,1,1,5,B,11.0
08:53,8,200,500,6,3,1,2,12,6,1,0,0,7,A,26.5
22:46,22,50,100,0,3,2,1,6,2,3,0,2,7,B,15.5
12:49,12,150,300,0,1,1,1,3,0,3,1,0,4,B,7.5
02:16,2,500,150,0,1,2,1,4,2,0,1,2,5,A,11.0
23:15,23,200,150,2,3,0,2,7,2,0,0,2,4,A,15.5
05:32,5,200,200,0,0,1,1,2,0,2,1,0,3,A,6.5
16:14,16,300,500,3,3,0,0,6,3,3,2,1,9,B,20.0
02:54,2,200,200,1,0,1,2,4,2,0,0,1,3,A,12.0
13:02,13,300,300,0,0,2,2,4,2,1,2,2,7,B,18.5
14:21,14,150,50,1,3,1,2,7,4,3,2,2,11,B,25.5
11:45,11,200,50,0,1,0,1,2,2,2,2,2,8,B,20.0
11:44,11,50,50,1,3,0,2,6,3,0,1,2,6,B,16.0
06:12,6,50,200,1,3,0,2,6,2,0,1,0,3,A,13.5
20:53,20,500,300,0,3,1,2,6,4,1,1,0,6,A,14.5
16:47,16,50,300,3,3,2,0,8,4,1,2,0,7,B,15.5
03:24,3,500,300,2,2,2,1,7,1,1,1,1,4,A,16.5
10:18,10,200,100,1,3,2,2,8,4,2,2,2,10,B,24.0
10:45,10,500,300,1,1,0,2,4,2,2,2,0,6,B,13.0
22:41,22,100,300,2,2,2,0,6,1,3,2,2,8,B,19.5
21:45,21,200,500,4,2,1,0,7,4,0,0,1,5,B,11.5
04:03,4,500,50,0,2,0,1,3,2,2,0,0,4,A,6.5
22:50,22,150,100,2,0,1,1,4,0,1,2,2,5,B,14.5
17:24,17,100,300,6,2,2,2,12,0,3,1,1,5,A,28.0
21:20,21,300,50,0,2,0,2,4,3,1,2,2,8,B,20.5
22:41,22,150,300,2,1,2,0,5,1,3,0,2,6,B,13.5
02:11,2,100,500,2,0,1,0,3,1,2,2,1,6,B,14.5
04:10,4,300,150,0,2,1,2,5,0,0,0,1,1,A,13.0
19:03,19,500,300,6,2,1,2,11,4,2,0,2,8,A,25.0
10:33,10,100,100,4,0,2,0,6,3,3,0,1,7,A,14.0
07:56,7,100,500,2,2,1,1,6,1,3,2,2,8,B,19.5
00:07,0,500,150,1,1,2,2,6,2,1,0,2,5,A,16.5
10:24,10,50,200,2,2,0,2,6,2,3,1,0,6,A,14.0
09:57,9,500,100,2,0,0,0,2,6,0,2,0,8,B,18.0
06:42,6,500,100,3,0,0,2,5,3,0,2,2,7,B,19.0
04:01,4,200,500,1,0,0,0,1,0,1,1,2,4,B,11.5
02:36,2,100,150,1,3,1,2,7,1,3,1,0,5,A,16.5
12:43,12,50,300,0,0,2,2,4,0,0,1,2,3,A,13.0
03:18,3,500,150,2,0,1,1,4,1,3,2,0,6,A,10.5
15:10,15,300,100,1,3,2,1,7,1,2,2,2,7,A,16.0
20:23,20,50,300,4,1,0,0,5,0,3,2,2,7,B,17.5
02:19,2,100,500,2,2,0,1,5,2,1,0,0,3,A,10.5
07:39,7,150,100,0,1,2,2,5,6,0,2,1,9,B,21.5
20:35,20,50,150,0,2,0,0,2,4,3,1,1,9,B,19.0
04:42,4,500,100,0,2,2,0,4,0,2,1,1,4,A,9.0
10:39,10,500,150,4,1,2,2,9,2,2,1,0,5,A,22.5
00:20,0,100,100,2,3,1,1,7,0,2,1,1,4,A,15.0
14:22,14,150,200,4,0,0,2,6,4,0,1,0,5,A,15.0
17:12,17,150,500,5,0,2,0,7,0,0,2,2,4,B,13.0
12:49,12,300,100,0,2,2,2,6,3,1,1,1,6,A,16.0
07:57,7,300,500,6,2,0,1,9,4,0,1,1,6,A,18.5
16:00,16,500,100,4,1,2,0,7,3,1,0,2,6,A,15.5
18:42,18,100,500,5,3,1,0,9,1,3,0,0,4,A,17.5
08:23,8,100,50,5,1,2,1,9,3,3,1,0,7,A,21.0
01:41,1,150,50,2,2,2,1,7,2,1,1,2,6,A,16.5
12:23,12,300,500,0,2,1,0,3,4,3,1,1,9,B,19.0
15:50,15,200,300,0,1,1,0,2,1,0,2,2,5,B,15.0
08:13,8,100,100,1,2,2,2,7,6,0,2,0,8,A,18.0
13:51,13,150,500,0,3,2,1,6,3,1,2,0,6,B,13.5
20:53,20,200,50,1,0,0,2,3,4,1,0,2,7,B,16.5
16:02,16,300,100,0,1,1,0,2,4,3,2,2,11,B,25.5
20:01,20,500,500,2,0,0,1,3,4,3,1,0,8,B,15.5
07:53,7,200,300,1,1,2,2,6,4,2,0,2,8,B,18.0
21:21,21,200,300,4,0,0,1,5,3,1,0,0,4,A,11.5
06:33,6,300,500,3,1,2,0,6,1,3,2,2,8,B,19.5
01:56,1,300,300,0,0,1,2,3,0,0,2,2,4,B,13.0
13:33,13,200,150,0,3,0,1,4,3,2,2,2,9,B,22.0
22:36,22,50,200,0,2,1,0,3,0,2,2,2,6,B,16.0
13:16,13,100,50,0,0,2,0,2,3,1,2,1,7,B,17.0
13:23,13,50,100,3,2,1,2,8,3,2,2,1,8,B,18.5
21:25,21,100,200,4,3,0,1,8,4,3,1,1,9,B,19.0
18:22,18,500,200,5,1,2,0,8,5,1,1,2,9,A,17.5
05:06,5,100,300,1,2,2,2,7,2,0,0,1,3,A,18.0
20:00,20,50,100,3,3,0,0,6,2,1,1,0,4,A,10.5
19:02,19,500,200,3,2,2,2,9,0,1,2,1,4,A,22.0
14:00,14,100,500,4,2,0,0,6,4,1,2,0,7,B,15.5
21:02,21,150,100,0,1,0,1,2,3,2,2,1,8,B,18.5
12:37,12,100,300,0,0,0,2,2,2,2,1,1,6,B,13.5
07:38,7,100,200,3,0,1,0,4,3,0,2,0,5,B,12.0
16:18,16,150,50,4,2,2,2,10,2,3,1,2,8,A,24.0
15:49,15,100,150,3,3,2,0,8,3,0,1,0,4,A,16.5
12:40,12,100,500,1,2,1,1,5,4,0,2,1,7,B,17.5
07:18,7,50,200,5,2,0,2,9,1,3,1,1,6,A,20.0
06:57,6,300,150,1,1,1,2,5,1,1,2,0,4,A,13.5
08:13,8,100,100,6,1,2,1,10,1,0,0,0,1,A,23.0
21:42,21,200,300,0,0,1,1,2,4,2,1,2,9,B,21.0
08:31,8,100,300,2,3,0,2,7,1,0,2,1,4,A,15.5
15:34,15,50,300,2,3,2,0,7,3,0,2,2,7,B,19.0
14:20,14,500,50,0,1,1,2,4,0,2,1,2,5,A,11.5
08:11,8,300,150,1,2,1,2,6,2,2,0,1,5,A,15.0
13:13,13,200,500,2,2,1,1,6,3,1,2,0,6,B,13.5
18:43,18,100,50,5,2,0,2,9,3,3,0,0,6,A,20.0
23:09,23,200,50,0,3,1,0,4,2,2,1,1,6,B,13.5
08:35,8,300,50,3,0,2,0,5,0,1,1,1,3,A,12.0
20:06,20,200,500,2,2,1,1,6,4,2,1,0,7,B,14.0
13:07,13,150,500,4,1,2,2,9,4,1,1,1,7,A,22.5
10:43,10,300,200,3,0,1,2,6,2,3,2,0,7,A,16.0
05:40,5,150,200,2,3,0,0,5,0,2,0,1,3,A,8.5
10:41,10,150,500,2,3,1,1,7,2,3,1,0,6,A,15.0
05:54,5,50,100,2,1,2,1,6,2,0,0,0,2,A,15.0
12:06,12,50,50,3,0,0,1,4,4,0,0,1,5,B,11.5
19:09,19,50,500,3,2,0,0,5,5,2,1,2,10,B,23.0
